Image Filename,Latitude,Longitude,Seal Bounding Box,Ice Chunk Area
JHI_FullSurvey_75m_Flight_01_00360.JPG,58.85379185588889,-137.0958471008889,"[2076, 1963, 2146, 2036]",16043.5
JHI_FullSurvey_75m_Flight_01_00360.JPG,58.85379185588889,-137.0958471008889,"[2457, 2396, 2522, 2422]",39741.5
JHI_FullSurvey_75m_Flight_01_00360.JPG,58.85379185588889,-137.0958471008889,"[2810, 3006, 2867, 3090]",21769.5
JHI_FullSurvey_75m_Flight_01_00360.JPG,58.85379185588889,-137.0958471008889,"[2874, 3043, 2913, 3100]",21769.5
JHI_FullSurvey_75m_Flight_01_00360.JPG,58.85379185588889,-137.0958471008889,"[3132, 3200, 3180, 3248]",8667.5
JHI_FullSurvey_75m_Flight_01_00360.JPG,58.85379185588889,-137.0958471008889,"[4369, 667, 4420, 754]",10295.0
JHI_FullSurvey_75m_Flight_01_00360.JPG,58.85379185588889,-137.0958471008889,"[4445, 712, 4479, 743]",10295.0
JHI_FullSurvey_75m_Flight_01_00360.JPG,58.85379185588889,-137.0958471008889,"[4480, 715, 4509, 749]",10295.0
JHI_FullSurvey_75m_Flight_01_00361.JPG,58.853573595250005,-137.0961547218889,"[4345, 2855, 4392, 2934]",9981.0
JHI_FullSurvey_75m_Flight_01_00361.JPG,58.853573595250005,-137.0961547218889,"[4417, 2891, 4479, 2927]",9981.0
JHI_FullSurvey_75m_Flight_01_00364.JPG,58.85292509758334,-137.09706351891668,"[2489, 174, 2559, 218]",29185.0
JHI_FullSurvey_75m_Flight_01_00364.JPG,58.85292509758334,-137.09706351891668,"[3276, 432, 3331, 494]",9471.0
JHI_FullSurvey_75m_Flight_01_00364.JPG,58.85292509758334,-137.09706351891668,"[4116, 123, 4147, 199]",14768.5
JHI_FullSurvey_75m_Flight_01_00364.JPG,58.85292509758334,-137.09706351891668,"[4571, 0, 4606, 30]",2139.5
JHI_FullSurvey_75m_Flight_01_00364.JPG,58.85292509758334,-137.09706351891668,"[2026, 1611, 2072, 1663]",2520.5
JHI_FullSurvey_75m_Flight_01_00364.JPG,58.85292509758334,-137.09706351891668,"[2595, 2338, 2642, 2449]",37737.0
JHI_FullSurvey_75m_Flight_01_00364.JPG,58.85292509758334,-137.09706351891668,"[2469, 3030, 2517, 3105]",10480.0
JHI_FullSurvey_75m_Flight_01_00364.JPG,58.85292509758334,-137.09706351891668,"[475, 3592, 532, 3650]",8446.0
JHI_FullSurvey_75m_Flight_01_00364.JPG,58.85292509758334,-137.09706351891668,"[18, 3912, 84, 3945]",6991.0
JHI_FullSurvey_75m_Flight_01_00364.JPG,58.85292509758334,-137.09706351891668,"[13, 3880, 62, 3903]",6991.0
JHI_FullSurvey_75m_Flight_01_00364.JPG,58.85292509758334,-137.09706351891668,"[2171, 1014, 2225, 1058]",45144.0
JHI_FullSurvey_75m_Flight_01_00364.JPG,58.85292509758334,-137.09706351891668,"[2215, 982, 2256, 1082]",45144.0
JHI_FullSurvey_75m_Flight_01_00364.JPG,58.85292509758334,-137.09706351891668,"[3116, 835, 3149, 886]",27404.0
JHI_FullSurvey_75m_Flight_01_00364.JPG,58.85292509758334,-137.09706351891668,"[3090, 856, 3119, 960]",27404.0
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,"[4068, 369, 4103, 448]",9555.5
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,"[1101, 436, 1136, 505]",4860.5
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,"[888, 145, 980, 196]",12157.0
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,"[1207, 1300, 1257, 1357]",20096.5
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,"[1218, 1311, 1279, 1396]",20096.5
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,"[1552, 2095, 1608, 2161]",15065.5
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,"[2456, 2369, 2542, 2418]",27977.5
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,"[2509, 2324, 2541, 2388]",27977.5
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,"[4058, 2329, 4086, 2411]",14823.5
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,"[4501, 2146, 4533, 2224]",6898.0
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,"[2173, 3159, 2213, 3199]",30815.5
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,"[3068, 3020, 3099, 3068]",20070.5
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,"[3042, 3037, 3070, 3135]",20070.5
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,"[3229, 2624, 3283, 2687]",8574.0
